Name,Card Link,Collector Number,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Defy,https://riftdecks.com/cards/details-defy,OGN-045/298,common,calm,,spell,,,,,,,1,1,C,1C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].","Riftbound Spell: Defy. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than [4] and no more than [A].",
En Garde,https://riftdecks.com/cards/details-en-garde,OGN-046/298,common,calm,,spell,,,,,,,1,1,,1,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.","Riftbound Spell: En Garde. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 [S] this turn, then an additional +1 [S] this turn if it is the only unit you control there.",
Find Your Center,https://riftdecks.com/cards/details-find-your-center,OGN-047/298,common,calm,,spell,,,,,,,3,3,,3,,"[Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.","Riftbound Spell: Find Your Center. [Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs [2] less.
Draw 1 and channel 1 rune exhausted.",
Meditation,https://riftdecks.com/cards/details-meditation,OGN-048/298,common,calm,,spell,,,,,,,2,2,,2,,"[Reaction] (Play any time, even before spells and abilities resolve.)
As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.","Riftbound Spell: Meditation. [Reaction] (Play any time, even before spells and abilities resolve.)
As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.",
Playful Phantom,https://riftdecks.com/cards/details-playful-phantom,OGN-049/298,common,calm,,unit,spirit,shadowisles,,,,,5,5,,5,5,,Riftbound Unit: Playful Phantom.,
Rune Prison,https://riftdecks.com/cards/details-rune-prison,OGN-050/298,common,calm,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
Stun a unit. (It doesn't deal combat damage this turn.)","Riftbound Spell: Rune Prison. [Action] (Play on your turn or in showdowns.)
Stun a unit. (It doesn't deal combat damage this turn.)",
Solari Shieldbearer,https://riftdecks.com/cards/details-solari-shieldbearer,OGN-051/298,common,calm,,unit,mounttargon,,,,,,3,3,,3,2,"When you play me, stun a unit. (It doesn't deal combat damage this turn.)","Riftbound Unit: Solari Shieldbearer. When you play me, stun a unit. (It doesn't deal combat damage this turn.)",
Stalwart Poro,https://riftdecks.com/cards/details-stalwart-poro,OGN-052/298,common,calm,,unit,poro,,,,,,2,2,,2,2,[Shield] (+1 [S] while I'm a defender.),Riftbound Unit: Stalwart Poro. [Shield] (+1 [S] while I'm a defender.),
Stand United,https://riftdecks.com/cards/details-stand-united,OGN-053/298,common,calm,,spell,,,,,,,3,3,,3,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Buff a friendly unit. Buffs give an additional +1 [S] to friendly units this turn. (To buff a unit, give it a +1 [S] buff if it doesn't already have one.)","Riftbound Spell: Stand United. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Buff a friendly unit. Buffs give an additional +1 [S] to friendly units this turn. (To buff a unit, give it a +1 [S] buff if it doesn't already have one.)",
Sunlit Guardian,https://riftdecks.com/cards/details-sunlit-guardian,OGN-054/298,common,calm,,unit,shurima,,,,,,3,3,,3,3,"[Shield] (+1 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)","Riftbound Unit: Sunlit Guardian. [Shield] (+1 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)",
Wielder of Water,https://riftdecks.com/cards/details-wielder-of-water,OGN-055/298,common,calm,,unit,ionia,,,,,,3,3,,3,2,"While I'm attacking or defending alone, I have +2 [S].","Riftbound Unit: Wielder of Water. While I'm attacking or defending alone, I have +2 [S].",
Adaptatron,https://riftdecks.com/cards/details-adaptatron,OGN-056/298,uncommon,calm,,unit,mech,piltover,,,,,4,4,,4,3,"When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 [S] buff.)","Riftbound Unit: Adaptatron. When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 [S] buff.)",
Block,https://riftdecks.com/cards/details-block,OGN-057/298,uncommon,calm,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)","Riftbound Spell: Block. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 [S] while it's a defender. It must be assigned combat damage first.)",
Discipline,https://riftdecks.com/cards/details-discipline,OGN-058/298,uncommon,calm,,spell,,,,,,,2,2,,2,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.","Riftbound Spell: Discipline. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 [S] this turn. Draw 1.",
Eclipse Herald,https://riftdecks.com/cards/details-eclipse-herald,OGN-059/298,uncommon,calm,,unit,bird,mounttargon,,,,,7,7,C,7C,7,"When you stun an enemy unit, ready me and give me +1 [S] this turn.","Riftbound Unit: Eclipse Herald. When you stun an enemy unit, ready me and give me +1 [S] this turn.",
Mask of Foresight,https://riftdecks.com/cards/details-mask-of-foresight,OGN-060/298,uncommon,calm,,gear,,,,,,,2,2,,2,,"When a friendly unit attacks or defends alone, give it +1 [S] this turn.","Riftbound Gear: Mask of Foresight. When a friendly unit attacks or defends alone, give it +1 [S] this turn.",
Poro Herder,https://riftdecks.com/cards/details-poro-herder,OGN-061/298,uncommon,calm,,unit,freljord,,,,,,3,3,C,3C,3,"When you play me, if you control a Poro, buff me and draw 1. (If I don't have a buff, I get a +1 [S] buff.)","Riftbound Unit: Poro Herder. When you play me, if you control a Poro, buff me and draw 1. (If I don't have a buff, I get a +1 [S] buff.)",
Reinforce,https://riftdecks.com/cards/details-reinforce,OGN-062/298,uncommon,calm,,spell,,,,,,,5,5,,5,,Look at the top 5 cards of your Main Deck. You may play a unit from among them. Its Energy cost is reduced by [5]. Then recycle the remaining cards.,Riftbound Spell: Reinforce. Look at the top 5 cards of your Main Deck. You may play a unit from among them. Its Energy cost is reduced by [5]. Then recycle the remaining cards.,
Spirit's Refuge,https://riftdecks.com/cards/details-spirits-refuge,OGN-063/298,uncommon,calm,,gear,,,,,,,2,2,C,2C,,"When you play this, buff a friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)
Friendly buffed units have [Deflect] if they didn't already. (Opponents must pay [A] to choose those units with a spell or ability.)","Riftbound Gear: Spirit's Refuge. When you play this, buff a friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)
Friendly buffed units have [Deflect] if they didn't already. (Opponents must pay [A] to choose those units with a spell or ability.)",
Wind Wall,https://riftdecks.com/cards/details-wind-wall,OGN-064/298,uncommon,calm,,spell,,,,,,,3,3,CC,3CC,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell.","Riftbound Spell: Wind Wall. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell.",
Wizened Elder,https://riftdecks.com/cards/details-wizened-elder,OGN-065/298,uncommon,calm,,unit,ionia,,,,,,4,4,,4,4,"While I'm buffed, I have an additional +1 [S].","Riftbound Unit: Wizened Elder. While I'm buffed, I have an additional +1 [S].",
"Ahri, Alluring",https://riftdecks.com/cards/details-ahri-alluring,OGN-066/298,rare,calm,,unit,ahri,ionia,,,,champion,5,5,C,5C,4,"When I hold, you score 1 point.","Riftbound Unit: Ahri, Alluring. When I hold, you score 1 point.",
"Blitzcrank, Impassive",https://riftdecks.com/cards/details-blitzcrank-impassive,OGN-067/298,rare,calm,,unit,mech,blitzcrank,zaun,,,champion,5,5,C,5C,5,"[Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.","Riftbound Unit: Blitzcrank, Impassive. [Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",
"Caitlyn, Patrolling",https://riftdecks.com/cards/details-caitlyn-patrolling,OGN-068/298,rare,calm,,unit,caitlyn,piltover,,,,champion,3,3,C,3C,3,"I must be assigned combat damage last.
[T]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.","Riftbound Unit: Caitlyn, Patrolling. I must be assigned combat damage last.
[T]: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",
Last Stand,https://riftdecks.com/cards/details-last-stand,OGN-069/298,rare,calm,,spell,,,,,,,3,3,C,3C,,"[Action] (Play on your turn or in showdowns.)
Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Riftbound Spell: Last Stand. [Action] (Play on your turn or in showdowns.)
Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",
Mageseeker Warden,https://riftdecks.com/cards/details-mageseeker-warden,OGN-070/298,rare,calm,,unit,demacia,,,,,,6,6,C,6C,5,"While I'm at a battlefield, opponents can only play units to their base.
While I'm at a battlefield, spells and abilities can't ready enemy units and gear.","Riftbound Unit: Mageseeker Warden. While I'm at a battlefield, opponents can only play units to their base.
While I'm at a battlefield, spells and abilities can't ready enemy units and gear.",
Party Favors,https://riftdecks.com/cards/details-party-favors,OGN-071/298,rare,calm,,spell,,,,,,,3,3,,3,,"Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.","Riftbound Spell: Party Favors. Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.",
Solari Shrine,https://riftdecks.com/cards/details-solari-shrine,OGN-072/298,rare,calm,,gear,,,,,,,3,3,,3,,"When you kill a stunned enemy unit, you may exhaust this to draw 1.","Riftbound Gear: Solari Shrine. When you kill a stunned enemy unit, you may exhaust this to draw 1.",
"Sona, Harmonious",https://riftdecks.com/cards/details-sona-harmonious,OGN-073/298,rare,calm,,unit,sona,demacia,,,,champion,4,4,C,4C,4,"While I'm at a battlefield, ready 4 friendly runes at the end of your turn.","Riftbound Unit: Sona, Harmonious. While I'm at a battlefield, ready 4 friendly runes at the end of your turn.",
"Taric, Protector",https://riftdecks.com/cards/details-taric-protector,OGN-074/298,rare,calm,,unit,taric,mounttargon,,,,champion,4,4,C,4C,4,"[Shield] (+1 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)
Other friendly units here have [Shield].","Riftbound Unit: Taric, Protector. [Shield] (+1 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)
Other friendly units here have [Shield].",
Tasty Faefolk,https://riftdecks.com/cards/details-tasty-faefolk,OGN-075/298,rare,calm,,unit,fae,bandlecity,,,,,7,7,,7,6,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
[Deathknell] — Channel 2 runes exhausted and draw 1. (When I die, get the effect.)",Riftbound Unit: Tasty Faefolk. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.),
"Yasuo, Remorseful",https://riftdecks.com/cards/details-yasuo-remorseful,OGN-076/298,rare,calm,,unit,yasuo,ionia,,,,champion,6,6,CC,6CC,6,"When I attack, deal damage equal to my Might to an enemy unit here.","Riftbound Unit: Yasuo, Remorseful. When I attack, deal damage equal to my Might to an enemy unit here.",
Zhonya's Hourglass,https://riftdecks.com/cards/details-zhonyas-hourglass,OGN-077/298,rare,calm,,gear,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
The next time a friendly unit would die, kill this instead. Recall that unit exhausted. (Send it to base. This isn't a move.)","Riftbound Gear: Zhonya's Hourglass. [Hidden] (Hide now for [A] to react with later for [0].)
The next time a friendly unit would die, kill this instead. Recall that unit exhausted. (Send it to base. This isn't a move.)",
"Lee Sin, Ascetic",https://riftdecks.com/cards/details-lee-sin-ascetic,OGN-078/298,epic,calm,,unit,leesin,ionia,,,,champion,5,5,C,5C,5,"[Shield] (+1 [S] while I'm a defender.)
[T]: Buff me. (I get a +1 [S] buff.)
I can have any number of buffs.","Riftbound Unit: Lee Sin, Ascetic. [Shield] (+1 [S] while I'm a defender.)
[T]: Buff me. (I get a +1 [S] buff.)
I can have any number of buffs.",
"Leona, Zealot",https://riftdecks.com/cards/details-leona-zealot,OGN-079/298,epic,calm,,unit,leona,mounttargon,,,,champion,6,6,C,6C,6,"If an opponent's score is within 3 points of the Victory Score, I enter ready.
Stunned enemy units here have -8 [S], to a minimum of 1 [S].","Riftbound Unit: Leona, Zealot. If an opponent's score is within 3 points of the Victory Score, I enter ready.
Stunned enemy units here have -8 [S], to a minimum of 1 [S].",
Mystic Reversal,https://riftdecks.com/cards/details-mystic-reversal,OGN-080/298,epic,calm,,spell,,,,,,,4,4,CCC,4CCC,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Gain control of a spell. You may make new choices for it.","Riftbound Spell: Mystic Reversal. [Reaction] (Play any time, even before spells and abilities resolve.)
Gain control of a spell. You may make new choices for it.",
Whiteflame Protector,https://riftdecks.com/cards/details-whiteflame-protector,OGN-082/298,epic,calm,,unit,dragon,mounttargon,,,,,8,8,CC,8CC,8,"When you play me, give a unit +8 [S] this turn.","Riftbound Unit: Whiteflame Protector. When you play me, give a unit +8 [S] this turn.",
Consult the Past,https://riftdecks.com/cards/details-consult-the-past,OGN-083/298,common,mind,,spell,,,,,,,4,4,,4,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.","Riftbound Spell: Consult the Past. [Hidden] (Hide now for [A] to react with later for [0].)
[Reaction] (Play any time, even before spells and abilities resolve.)
Draw 2.",
